SELECT count(*), s.id, s.shopName
FROM tb_goods_item g
JOIN tb_seller s on g.shopId=s.id
GROUP BY s.id
ORDER BY count(*) desc;

count(*),id,shopName
1,62409251,波斯丹顿旗舰店
1,116749065,千翠坊旗舰店
1,105494836,卡伯森家居旗舰店
1,116792711,ijarl瓷韵专卖店
1,105544176,爵煌旗舰店
1,116947573,恒源祥恒瑞祥泰专卖店
1,105628650,威寰运动专营店
1,117227823,七可旗舰店
1,105668486,水墨青华旗舰店
1,117413937,雷米眼镜旗舰店
1,105794969,星士凯旗舰店
1,105854813,狄普旗舰店
1,101151668,艾妃鲜花旗舰店
1,63321917,有道服饰专营
1,101462325,meilijia旗舰店
1,63415787,富和家居旗舰店
1,101698941,7000年旗舰店
1,63523624,零伍玖壹数码专营店
1,101957560,稻草人男包旗舰店
1,63731520,smartyou旗舰店
1,101993689,topcycling旗舰店
1,63967644,魔术荟萃旗舰店
1,64184027,莫泰旗舰店
1,117614899,具汇旗舰店
1,111155208,费蒙保罗旗舰店
1,118417502,高露洁诺晶专卖店
1,111290100,比你俏旗舰店
1,119421310,竹匠人家旗舰店
1,111413647,欣橙宠物用品专营店
1,120508025,nst耐施特旗舰店
1,111589189,蓝色私语旗舰店
1,111681963,kimo旗舰店
1,103739265,麦德好旗舰店
1,66707230,西铁城手表旗舰店
1,103866177,冠腾旗舰店
1,66815686,万汇运动专营店
1,103967486,天时汇官方旗舰店
1,66883549,品生美家居旗舰店
1,104142527,美的美地美专卖店
1,67095450,绿联数码旗舰店
1,67227889,伟峰友和数码专营店
1,130704944,致和泰德办公专营店
1,131208760,pulassi旗舰店
1,111744240,群辰母婴专营店
1,136402047,philips飞利浦丽新专卖店
1,111963656,babybjorn旗舰店
1,142828788,凯元旗舰店
1,112021118,恒源祥恒途专卖店
1,144357970,拜博旗舰店
1,112129362,非凡领袖旗舰店
1,145141916,艾谱创淘专卖店
1,112192024,epshome旗舰店
1,100122655,大朴家纺旗舰店
1,57300779,多喜爱旗舰店
1,100222371,泰摩旗舰店
1,59110100,天光墟珠宝旗舰店
1,100324525,kocotree旗舰店
1,57302655,盛宇家纺官方旗舰店
1,100557182,霞琪旗舰店
1,59465342,能臣家居专营店
1,100797899,鹊缘旗舰店
1,59974467,孚乐泰旗舰店
1,110532518,lm箱包旗舰店
1,104993699,麦绣绣家居旗舰店
1,110862963,cigarloong茄龙旗舰店
1,105140691,大师典洛专卖店
1,110913900,玖甄家居专营店
1,105221277,粉爱粉爱你旗舰店
1,111001102,乐羽家居旗舰店
1,105382204,鑫翼捷车品专营店
1,111041479,sanda烟具旗舰店
1,102936332,骆驼牌鞋类旗舰店
1,112325579,月儿弯珠宝旗舰店
1,107880170,金泰雄汽车用品专营店
1,112453505,icefish旗舰店
1,107969709,品雅一派旗舰店
1,112492758,久慕雅黛旗舰店
1,112521268,柏拉图烟具旗舰店
1,108112090,神彩家居专营店
1,108164242,美滋元旗舰店
1,67744843,牛牛手绘鞋类旗舰店
1,67871734,魅途旗舰店
1,67332175,满意轩旗舰店
1,68023838,洋溢幸福旗舰店
1,67392970,鸿胤家居专营店
1,68360039,迪亚龙旗舰店
1,67601218,mmaicco旗舰店
1,67690044,伊伊爱旗舰店
1,67741694,钺和成晟乐器专营店
1,114723581,昌辉旗舰店
1,114857704,安鹏运动户外专营店
1,108229936,斯德莉旗舰店
1,115018605,多乐都乐旗舰店
1,145268517,lapagayo帕佳图旗舰店
